Date;Confirmed;Death;Recovered
2020-02-01;1;0;0
2020-02-02;1;0;0
2020-02-03;1;0;0
2020-02-04;1;0;0
2020-02-05;1;0;0
2020-02-06;1;0;0
2020-02-07;1;0;0
2020-02-08;1;0;0
2020-02-09;2;0;0
2020-02-10;2;0;0
2020-02-11;2;0;0
2020-02-12;2;0;0
2020-02-13;2;0;0
2020-02-14;2;0;0
2020-02-15;2;0;2
2020-02-16;2;0;2
2020-02-17;2;0;2
2020-02-18;2;0;2
2020-02-19;2;0;2
2020-02-20;2;0;2
2020-02-21;2;0;2
2020-02-22;2;0;2
2020-02-23;2;0;2
2020-02-24;2;0;2
2020-02-25;6;0;2
2020-02-26;13;0;2
2020-02-27;15;0;2
2020-02-28;32;0;2
2020-02-29;45;0;2
2020-03-01;84;0;2
2020-03-02;120;0;2
2020-03-03;165;1;2
2020-03-04;222;2;2
2020-03-05;259;3;2
2020-03-06;400;5;2
2020-03-07;500;10;30
2020-03-08;673;17;30
2020-03-09;1073;28;32
2020-03-10;1695;35;135
2020-03-11;2277;54;183
2020-03-12;3146;86;189
2020-03-13;5232;133;193
2020-03-14;6391;195;517
2020-03-15;7798;289;517
2020-03-16;9942;342;530
2020-03-17;11748;533;1028
2020-03-18;13910;623;1081
2020-03-19;17963;830;1107